iter	RMSE
0	61499.91104
1	60063.46007
2	58817.63343
3	57614.4223
4	56611.28457
5	55643.47465
6	54736.20456
7	53850.6305
8	53134.12357
9	52352.39219
10	51600.70714
11	50971.1737
12	50439.67656
13	49952.3256
14	49485.51416
15	49087.71941
16	48703.43103
17	48346.69989
18	47996.17136
19	47676.07445
20	47419.58293
21	47155.46458
22	46937.10644
23	46709.20269
24	46548.75981
25	46363.42157
26	46167.40727
27	46007.43942
28	45866.70706
29	45704.2901
30	45578.39915
31	45451.88169
32	45329.16413
33	45211.35809
34	45092.88652
35	45000.62617
36	44921.0121
37	44835.56218
38	44754.6109
39	44683.94483
40	44641.89852
41	44582.84689
42	44515.10961
43	44441.39206
44	44374.55146
45	44329.30612
46	44272.46263
47	44226.75213
48	44183.60535
49	44131.98079
50	44092.431
51	44046.07532
52	44011.70623
53	43977.64034
54	43945.324
55	43895.56331
56	43838.03974
57	43807.81076
58	43770.01687
59	43731.1715
60	43698.39062
61	43647.60713
62	43622.15749
63	43566.40885
64	43529.26812
65	43487.32179
66	43444.5257
67	43423.22499
68	43399.40435
69	43390.76182
70	43368.49479
71	43359.53527
72	43338.39877
73	43309.31333
74	43286.06829
75	43263.87193
76	43230.8689
77	43209.38112
78	43181.31142
79	43161.21273
80	43150.62919
81	43130.9467
82	43121.10343
83	43092.81845
84	43073.37334
85	43055.47085
86	43026.46889
87	43010.0097
88	42995.44535
89	42969.10594
90	42951.55829
91	42934.07304
92	42920.70878
93	42912.58946
94	42888.14334
95	42873.30164
96	42867.3489
97	42846.73023
98	42825.39862
99	42811.19545
100	42775.83696
101	42758.67391
102	42748.684
103	42716.64853
104	42700.76413
105	42689.72136
106	42688.76583
107	42673.44681
108	42641.2985
109	42640.35799
110	42614.98446
111	42592.23107
112	42570.84923
113	42557.28152
114	42537.53798
115	42535.80233
116	42511.71946
117	42491.78262
118	42486.45131
119	42471.27549
120	42462.33777
121	42446.52077
122	42430.65871
123	42419.03524
124	42408.57961
125	42405.69545
126	42393.38081
127	42381.26873
128	42363.10061
129	42347.19125
130	42341.47324
131	42326.80387
132	42311.09638
133	42273.90317
134	42262.58299
135	42242.72258
136	42231.15488
137	42223.87692
138	42212.73261
139	42201.00074
140	42189.27405
141	42172.80347
142	42168.96194
143	42149.86892
144	42136.0207
145	42124.85674
146	42111.50523
147	42097.85076
148	42090.1806
149	42079.42592
150	42066.13971
151	42058.29758
152	42042.07088
153	42033.1238
154	42028.77997
155	42018.17239
156	42010.07927
157	42005.1218
158	41995.22969
159	41990.37844
160	41963.1446
161	41953.08661
162	41944.77351
163	41937.36103
164	41934.28958
165	41931.27353
166	41919.62761
167	41908.78947
168	41902.73621
169	41897.97812
170	41877.51996
171	41865.44101
172	41856.17324
173	41850.95155
174	41830.80399
175	41820.29202
176	41813.29658
177	41806.64483
178	41795.04436
179	41787.97095
180	41782.73337
181	41775.35526
182	41762.53113
183	41757.57244
184	41749.88932
185	41742.45103
186	41739.71684
187	41732.10104
188	41728.46187
189	41723.02763
190	41716.13604
191	41694.49644
192	41680.8025
193	41675.69425
194	41661.23835
195	41637.42763
196	41632.80982
197	41630.48146
198	41620.26388
199	41614.07422
200	41601.44254
201	41592.24582
202	41586.58208
203	41575.43508
204	41561.06707
205	41557.89672
206	41550.92779
207	41530.74138
208	41525.53154
209	41507.63864
210	41499.6771
211	41494.38367
212	41480.57608
213	41477.52959
214	41463.34021
215	41451.14709
216	41433.36565
217	41411.24257
218	41401.68807
219	41395.3822
220	41391.00162
221	41388.7228
222	41384.25561
223	41377.80589
224	41363.09747
225	41346.79503
226	41341.62184
227	41335.60398
228	41331.50491
229	41306.18037
230	41300.04886
231	41288.2559
232	41286.58554
233	41280.49767
234	41277.55659
235	41259.23218
236	41249.21493
237	41235.73027
238	41218.57648
239	41197.09535
240	41187.89541
241	41173.02234
242	41171.19257
243	41156.60098
244	41149.78889
245	41138.79264
246	41127.88081
247	41117.50746
248	41102.00048
249	41097.83707
250	41083.34677
251	41079.53599
252	41063.99727
253	41058.41596
254	41054.66278
255	41045.18464
256	41042.70853
257	41040.1555
258	41038.8946
259	41034.4619
260	41026.03852
261	41022.51903
262	41018.88619
263	41010.34587
264	41002.85355
265	40989.97345
266	40988.75637
267	40986.01626
268	40982.38077
269	40965.7694
270	40962.08005
271	40957.04063
272	40950.70714
273	40942.10982
274	40936.22998
275	40933.35959
276	40932.14045
277	40930.75846
278	40926.82666
279	40918.04052
280	40901.88937
281	40899.08815
282	40897.19165
283	40896.65431
284	40890.88424
285	40885.79752
286	40881.81238
287	40879.7543
288	40863.22814
289	40854.43295
290	40844.63786
291	40836.85241
292	40834.21898
293	40832.64144
294	40822.15363
295	40812.88141
296	40809.50225
297	40795.88607
298	40794.87948
299	40783.53272
300	40779.2347
301	40763.62811
302	40759.93038
303	40752.97241
304	40745.6336
305	40728.84319
306	40719.613
307	40715.09576
308	40711.00907
309	40703.06616
310	40696.23162
311	40684.76751
312	40683.78503
313	40671.1517
314	40670.51341
315	40670.31235
316	40656.57843
317	40653.64424
318	40650.98836
319	40640.7091
320	40631.06478
321	40627.03687
322	40626.60962
323	40620.26767
324	40619.73246
325	40614.07893
326	40606.98876
