iter	Passed	Remaining
0	6	2191
1	12	1967
2	17	1891
3	22	1847
4	26	1734
5	31	1673
6	34	1594
7	38	1524
8	41	1467
9	44	1424
10	48	1384
11	51	1354
12	54	1317
13	57	1282
14	60	1249
15	62	1220
16	63	1165
17	66	1141
18	69	1123
19	71	1104
20	74	1088
21	77	1073
22	80	1059
23	82	1047
24	85	1035
25	88	1022
26	91	1012
27	93	1003
28	96	994
29	99	987
30	102	979
31	105	971
32	108	966
33	111	962
34	114	956
35	117	949
36	120	941
37	122	934
38	125	928
39	128	919
40	131	914
41	133	907
42	136	900
43	138	893
44	141	887
45	144	883
46	147	879
47	150	872
48	152	866
49	155	863
50	158	858
51	160	848
52	163	843
53	165	838
54	168	834
55	171	831
56	174	827
57	177	822
58	179	817
59	182	812
60	185	809
61	188	805
62	191	802
63	194	798
64	196	794
65	200	790
66	203	787
67	205	783
68	208	778
69	209	769
70	212	765
71	214	758
72	217	756
73	220	754
74	224	753
75	226	748
76	229	745
77	232	741
78	234	737
79	237	733
80	240	729
81	242	725
82	245	720
83	247	716
84	250	712
85	252	707
86	255	704
87	257	700
88	260	695
89	262	692
90	265	688
91	267	684
92	270	680
93	272	676
94	275	672
95	277	668
96	280	664
97	282	660
98	285	656
99	287	653
100	290	649
101	292	646
102	295	642
103	297	638
104	300	634
105	302	630
106	303	623
107	305	620
108	308	616
109	309	610
110	311	606
111	314	603
112	316	600
113	319	596
114	322	593
115	323	587
116	325	584
117	328	581
118	330	578
119	333	575
120	336	572
121	338	569
122	341	566
123	343	563
124	346	559
125	347	554
126	350	551
127	352	548
128	355	545
129	357	541
130	359	538
131	362	535
132	364	532
133	367	529
134	370	526
135	372	523
136	375	520
137	378	517
138	380	514
139	383	511
140	385	508
141	387	505
142	390	502
143	393	500
144	396	497
145	399	494
146	401	491
147	404	489
148	406	486
149	409	483
150	412	480
151	415	477
152	418	475
153	420	472
154	423	469
155	425	466
156	429	464
157	432	462
158	435	459
159	438	457
160	441	454
161	443	452
162	446	449
163	449	446
164	451	442
165	453	439
166	455	436
167	458	433
168	461	431
169	463	428
170	466	425
171	468	422
172	471	419
173	473	416
174	475	413
175	478	410
176	480	407
177	483	404
178	485	401
179	488	398
180	490	395
181	493	393
182	496	390
183	498	387
184	501	384
185	503	381
186	506	379
187	509	376
188	511	373
189	514	370
190	516	368
191	519	365
192	522	362
193	524	359
194	527	357
195	530	354
196	532	351
197	535	348
198	538	346
199	541	343
200	543	340
201	546	338
202	549	335
203	552	333
204	554	330
205	557	327
206	559	324
207	562	321
208	564	318
209	567	316
210	569	313
211	572	310
212	575	307
213	577	304
214	579	302
215	582	299
216	585	296
217	587	293
218	590	291
219	593	288
220	595	285
221	598	282
222	600	280
223	603	277
224	606	274
225	609	272
226	611	269
227	614	266
228	617	264
229	620	261
230	622	258
231	625	256
232	627	253
233	630	250
234	633	247
235	636	245
236	638	242
237	641	239
238	643	237
239	646	234
240	649	231
241	652	229
242	654	226
243	657	223
244	660	220
245	662	218
246	665	215
247	668	212
248	671	210
249	674	207
250	676	204
251	679	202
252	682	199
253	684	196
254	687	194
255	690	191
256	693	188
257	695	186
258	698	183
259	701	180
260	704	178
261	707	175
262	709	172
263	712	169
264	715	167
265	718	164
266	719	161
267	722	159
268	725	156
269	728	153
270	731	151
271	734	148
272	737	145
273	740	143
274	743	140
275	746	137
276	748	135
277	751	132
278	754	129
279	757	127
280	760	124
281	763	121
282	767	119
283	770	116
284	773	113
285	776	111
286	781	108
287	784	106
288	788	103
289	792	101
290	796	98
291	800	95
292	820	95
293	826	92
294	831	90
295	838	87
296	843	85
297	848	82
298	852	79
299	856	77
300	861	74
301	865	71
302	869	68
303	873	66
304	877	63
305	880	60
306	884	57
307	887	54
308	891	51
309	894	49
310	897	46
311	900	43
312	903	40
313	906	37
314	909	34
315	910	31
316	914	28
317	916	25
318	920	23
319	922	20
320	925	17
321	928	14
322	930	11
323	933	8
324	935	5
325	938	2
326	940	0
